,minutes_90s,pressures_mid_3rd,tackles_mid_3rd,pressures_att_3rd,lg_finish,blocked_shots,pressure_regain_pct,pressure_regains,pressures_def_3rd,blocked_passes,tackles_won,squad,errors,dribbled_past,tackles_interceptions,clearances,age,dribbles_vs,interceptions,tackles_att_3rd,tackles,tackles_def_3rd,blocked_shots_saves,pressures,dribble_tackles,blocks,dribble_tackles_pct
0,10.6,,,,1st,,,,,,,Shakhtar,,,0,,18,,,,,,,,,,
1,20.4,,,,2nd,,,,,,,Shakhtar,,,0,,19,,,,,,,,,,
2,19.5,,,,1st,,,,,,,Shakhtar,,,0,,20,,,,,,,,,,
3,26.6,,,,1st,,,,,,,Shakhtar,,,0,,21,,,,,,,,,,
4,23.0,,,,1st,,,,,,,Shakhtar,,,0,,22,,,,,,,,,,
5,10.6,,,,1st,,,,,,,Shakhtar,,,0,,23,,,,,,,,,,
6,6.2,,,,3rd,,,,,,,Anzhi,,,0,,23,,,,,,,,,,
7,4.0,,,,16th,,,,,,,Anzhi,,,0,,24,,,,,,,,,,
8,18.6,,,,3rd,,,,,,,Chelsea,,,0,,24,,,,,,,,,,
9,26.7,,,,1st,,,,,,,Chelsea,,,0,,25,,,,,,,,,,
10,30.4,,,,10th,,,,,,,Chelsea,,,0,,26,,,,,,,,,,
11,17.0,,,,1st,,,,,,12,Chelsea,,,0,,27,,7,,,,,,,,
12,21.0,174,14,105,5th,1,26.5,89,57,19,19,Chelsea,0,12,35,7,28,16,10,5,25,6,0,336,4,20,25.0
13,23.3,254,15,164,3rd,1,28.0,145,99,20,25,Chelsea,0,23,51,7,29,30,14,10,37,12,0,517,7,21,23.3
14,28.9,261,22,170,4th,1,28.4,150,98,21,27,Chelsea,0,40,63,11,30,51,20,8,43,13,0,529,11,22,21.6
