,cards_red,cards_yellow,lg_finish,cards_yellow_red,fouls,offsides,ball_recoveries,own_goals,age,squad,pens_conceded,aerials_won,interceptions,pens_won,fouled,tackles_won,aerials_won_pct,aerials_lost,crosses,minutes_90s
0,0,0,1st,,,,,,18,Shakhtar,,,,,,,,,,10.6
1,0,1,2nd,,,,,,19,Shakhtar,,,,,,,,,,20.4
2,0,3,1st,,,,,,20,Shakhtar,,,,,,,,,,19.5
3,0,4,1st,,,,,,21,Shakhtar,,,,,,,,,,26.6
4,0,1,1st,,,,,,22,Shakhtar,,,,,,,,,,23.0
5,0,3,1st,,,,,,23,Shakhtar,,,,,,,,,,10.6
6,0,0,3rd,,,,,,23,Anzhi,,,,,,,,,,6.2
7,0,0,16th,,2,,,,24,Anzhi,,,,,,,,,,4.0
8,1,4,3rd,,25,,,,24,Chelsea,,,,,,,,,,18.6
9,0,3,1st,,27,,,,25,Chelsea,,,,,,,,,,26.7
10,0,5,10th,,25,,,,26,Chelsea,,,,,,,,,,30.4
11,0,3,1st,0,12,2,,0,27,Chelsea,0,,7,0,23,12,,,106,17.0
12,0,1,5th,0,11,5,143,0,28,Chelsea,0,6,10,1,38,19,31.6,13,100,21.0
13,0,2,3rd,0,12,11,142,0,29,Chelsea,0,5,14,1,31,25,22.7,17,170,23.3
14,0,4,4th,0,17,4,221,0,30,Chelsea,0,10,20,1,45,27,30.3,23,175,28.9
