,passes_live,passes_oob,passes_intercepted,passes_low,minutes_90s,lg_finish,passes_pressure,through_balls,corner_kicks,passes_head,passes_blocked,passes_switches,corner_kicks_out,age,squad,passes_offsides,corner_kicks_straight,throw_ins,passes_right_foot,passes_dead,crosses,passes_completed,corner_kicks_in,passes_left_foot,passes,passes_free_kicks,passes_ground,passes_other_body,passes_high
0,,,,,10.6,1st,,,,,,,,18,Shakhtar,,,,,,,,,,,,,,
1,,,,,20.4,2nd,,,,,,,,19,Shakhtar,,,,,,,,,,,,,,
2,,,,,19.5,1st,,,,,,,,20,Shakhtar,,,,,,,,,,,,,,
3,,,,,26.6,1st,,,,,,,,21,Shakhtar,,,,,,,,,,,,,,
4,,,,,23.0,1st,,,,,,,,22,Shakhtar,,,,,,,,,,,,,,
5,,,,,10.6,1st,,,,,,,,23,Shakhtar,,,,,,,,,,,,,,
6,,,,,6.2,3rd,,,,,,,,23,Anzhi,,,,,,,,,,,,,,
7,,,,,4.0,16th,,,,,,,,24,Anzhi,,,,,,,,,,,,,,
8,,,,,18.6,3rd,,,,,,,,24,Chelsea,,,,,,,,,,,,,,
9,,,,,26.7,1st,,,,,,,,25,Chelsea,,,,,,,,,,,,,,
10,,,,,30.4,10th,,,,,,,,26,Chelsea,,,,,,,,,,,,,,
11,,,,,17.0,1st,,,,,,,,27,Chelsea,,,,,,106,,,,,,,,
12,946,19,25,117,21.0,5th,186,1,48,13,49,44,5,28,Chelsea,8,1,6,876,83,100,769,5,122,1029,28,742,6,170
13,1257,18,41,145,23.3,3rd,256,1,110,34,54,57,12,29,Chelsea,7,2,6,1240,157,170,1100,7,124,1414,41,1035,5,234
14,1464,19,22,246,28.9,4th,339,5,110,37,49,82,55,30,Chelsea,4,10,8,1355,136,175,1247,27,187,1600,16,1079,5,275
