,touches_att_pen_area,lg_finish,carry_progressive_distance,touches_mid_3rd,dribbles_completed_pct,touches_def_3rd,minutes_90s,miscontrols,nutmegs,passes_received_pct,dribbles_completed,dribbles,touches,carries,touches_live_ball,age,touches_def_pen_area,carry_distance,dispossessed,players_dribbled_past,pass_targets,touches_att_3rd,squad,passes_received
0,,1st,,,,,10.6,,,,,,,,,18,,,,,,,Shakhtar,
1,,2nd,,,,,20.4,,,,,,,,,19,,,,,,,Shakhtar,
2,,1st,,,,,19.5,,,,,,,,,20,,,,,,,Shakhtar,
3,,1st,,,,,26.6,,,,,,,,,21,,,,,,,Shakhtar,
4,,1st,,,,,23.0,,,,,,,,,22,,,,,,,Shakhtar,
5,,1st,,,,,10.6,,,,,,,,,23,,,,,,,Shakhtar,
6,,3rd,,,,,6.2,,,,,,,,,23,,,,,,,Anzhi,
7,,16th,,,,,4.0,,,,,,,,,24,,,,,,,Anzhi,
8,,3rd,,,,,18.6,,,,,,,,,24,,,,,,,Chelsea,
9,,1st,,,,,26.7,,,,,,,,,25,,,,,,,Chelsea,
10,,10th,,,,,30.4,,,,,,,,,26,,,,,,,Chelsea,
11,,1st,,,,,17.0,,,,,,,,,27,,,,,,,Chelsea,
12,107,5th,4476,509,58.2,132,21.0,46,0,83.0,53,91,1305,986,1226,28,11,8303,40,60,1191,798,Chelsea,989
13,119,3rd,5476,671,59.7,154,23.3,42,0,83.4,37,62,1699,1341,1545,29,14,9236,51,41,1552,1008,Chelsea,1295
14,139,4th,6885,792,72.1,210,28.9,51,3,83.1,62,86,1928,1454,1788,30,20,12335,40,65,1730,1092,Chelsea,1438
