,season,pens_made,npxg,shots_total,npxg_per_shot,xg_net,age,goals,goals_per_shot_on_target,goals_per_shot,minutes_90s,lg_finish,shots_on_target_pct,pens_att,npxg_net,xg,shots_on_target,shots_free_kicks,squad,shots_total_per90,shots_on_target_per90
0,2007-2008,0,,,,,18,0,0.00,,10.6,1st,,0,,,6,,Shakhtar,,0.56
1,2008-2009,0,,,,,19,5,0.28,,20.4,2nd,,0,,,18,,Shakhtar,,0.88
2,2009-2010,0,,,,,20,5,0.26,,19.5,1st,,0,,,19,,Shakhtar,,0.97
3,2010-2011,0,,,,,21,3,0.21,,26.6,1st,,0,,,14,,Shakhtar,,0.53
4,2011-2012,0,,,,,22,5,0.28,,23.0,1st,,0,,,18,,Shakhtar,,0.78
5,2012-2013,0,,,,,23,2,0.13,,10.6,1st,,1,,,16,,Shakhtar,,1.51
6,2012-2013,0,,,,,23,1,0.17,,6.2,3rd,,0,,,6,,Anzhi,,0.97
7,2013-2014,0,,,,,24,0,0.00,,4.0,16th,,0,,,2,,Anzhi,,0.50
8,2013-2014,0,,,,,24,4,0.20,,18.6,3rd,,0,,,20,,Chelsea,,1.07
9,2014-2015,0,,,,,25,2,0.12,,26.7,1st,,0,,,17,,Chelsea,,0.64
10,2015-2016,0,,,,,26,5,0.25,,30.4,10th,,0,,,20,,Chelsea,,0.66
11,2016-2017,0,,44,,,27,8,0.53,0.18,17.0,1st,34.1,0,,,15,,Chelsea,2.58,0.88
12,2017-2018,1,4.1,51,0.08,+1.1,28,6,0.23,0.10,21.0,5th,43.1,1,+0.9,4.9,22,4,Chelsea,2.43,1.05
13,2018-2019,0,4.6,62,0.07,-1.6,29,3,0.14,0.05,23.3,3rd,35.5,0,-1.6,4.6,22,8,Chelsea,2.66,0.94
14,2019-2020,4,4.1,67,0.06,+1.8,30,9,0.19,0.07,28.9,4th,38.8,4,+0.9,7.2,26,8,Chelsea,2.32,0.90
