,pens_att,npxg_xa_per90,goals,xg_xa_per90,xa_per90,minutes,xg_per90,assists_per90,npxg_per90,age,goals_assists_pens_per90,cards_yellow,goals_per90,npxg,games_starts,xg,goals_assists_per90,games,goals_pens_per90,squad,cards_red,assists,xa,pens_made,lg_finish
0,0,,0,,,958,,0.19,,18,0.19,0,0.00,,6,,0.19,20,0.00,Shakhtar,0,2,,0,1st
1,0,,5,,,"1,834",,0.25,,19,0.49,1,0.25,,21,,0.49,29,0.25,Shakhtar,0,5,,0,2nd
2,0,,5,,,"1,755",,0.26,,20,0.51,3,0.26,,20,,0.51,22,0.26,Shakhtar,0,5,,0,1st
3,0,,3,,,"2,395",,0.23,,21,0.34,4,0.11,,28,,0.34,28,0.11,Shakhtar,0,6,,0,1st
4,0,,5,,,"2,068",,0.61,,22,0.83,1,0.22,,25,,0.83,27,0.22,Shakhtar,0,14,,0,1st
5,1,,2,,,955,,0.38,,23,0.57,3,0.19,,9,,0.57,14,0.19,Shakhtar,0,4,,0,1st
6,0,,1,,,555,,0.16,,23,0.32,0,0.16,,6,,0.32,7,0.16,Anzhi,0,1,,0,3rd
7,0,,0,,,359,,0.50,,24,0.50,0,0.00,,4,,0.50,4,0.00,Anzhi,0,2,,0,16th
8,0,,4,,,"1,677",,0.11,,24,0.32,4,0.21,,18,,0.32,25,0.21,Chelsea,1,2,,0,3rd
9,0,,2,,,"2,402",,0.11,,25,0.19,3,0.07,,28,,0.19,36,0.07,Chelsea,0,3,,0,1st
10,0,,5,,,"2,739",,0.20,,26,0.36,5,0.16,,32,,0.36,35,0.16,Chelsea,0,6,,0,10th
11,0,,8,,,"1,534",,0.12,,27,0.59,3,0.47,,15,,0.59,34,0.47,Chelsea,0,2,,0,1st
12,1,0.45,6,0.48,0.25,"1,890",0.23,0.33,0.20,28,0.57,1,0.29,4.1,20,4.9,0.62,36,0.24,Chelsea,0,7,5.3,1,5th
13,0,0.46,3,0.46,0.27,"2,097",0.20,0.26,0.20,29,0.39,2,0.13,4.6,26,4.6,0.39,32,0.13,Chelsea,0,6,6.2,0,3rd
14,4,0.38,9,0.49,0.24,"2,600",0.25,0.24,0.14,30,0.42,4,0.31,4.1,29,7.2,0.55,36,0.17,Chelsea,0,7,6.9,4,4th
