,player,goals_per90,goals_assists_per90,xg_per90,xg_xa_per90,pens_att,cards_red,assists_per90,minutes,pens_made,goals,npxg_xa_per90,goals_pens_per90,xa,xg,games_starts,age,assists,npxg,position,cards_yellow,xa_per90,npxg_per90,goals_assists_pens_per90,games
0,César Azpilicueta,0.06,0.22,0.07,0.23,0,0,0.17,"3,229",0,2,0.23,0.06,5.7,2.6,36,29,6,2.6,DF,1,0.16,0.07,0.22,36
1,Kepa Arrizabalaga,0.00,0.00,0.00,0.00,0,0,0.00,"2,970",0,0,0.00,0.00,0.0,0.0,33,24,0,0.0,GK,0,0.00,0.00,0.00,33
2,Mason Mount,0.22,0.38,0.22,0.37,0,0,0.16,"2,867",0,7,0.37,0.22,4.6,7.0,32,20,5,7.0,"MF,FW",3,0.15,0.22,0.38,37
3,Willian,0.31,0.55,0.25,0.49,4,0,0.24,"2,600",4,9,0.38,0.17,6.9,7.2,29,30,7,4.1,FW,4,0.24,0.14,0.42,36
4,Jorginho,0.15,0.23,0.13,0.22,3,0,0.08,"2,379",3,4,0.13,0.04,2.4,3.4,27,27,2,1.1,MF,10,0.09,0.04,0.11,31
5,Kurt Zouma,0.00,0.00,0.03,0.04,0,0,0.00,"2,344",0,0,0.04,0.00,0.2,0.7,25,24,0,0.7,DF,6,0.01,0.03,0.00,28
6,Tammy Abraham,0.61,0.73,0.59,0.69,0,0,0.12,"2,215",0,15,0.69,0.61,2.6,14.5,25,21,3,14.5,FW,2,0.10,0.59,0.73,34
7,Mateo Kovačić,0.04,0.17,0.06,0.14,0,0,0.13,"2,073",0,1,0.14,0.04,2.0,1.3,23,25,3,1.3,MF,8,0.09,0.06,0.17,31
8,Andreas Christensen,0.00,0.00,0.04,0.09,0,0,0.00,"1,751",0,0,0.09,0.00,1.1,0.7,21,23,0,0.7,DF,5,0.06,0.04,0.00,21
9,N'Golo Kanté,0.16,0.16,0.08,0.19,0,0,0.00,"1,732",0,3,0.19,0.16,2.0,1.5,20,28,0,1.5,MF,4,0.11,0.08,0.16,22
10,Christian Pulisic,0.47,0.68,0.42,0.59,0,0,0.21,"1,722",0,9,0.59,0.47,3.4,8.0,19,20,4,8.0,FW,0,0.18,0.42,0.68,25
11,Antonio Rüdiger,0.11,0.11,0.03,0.05,0,0,0.00,"1,710",0,2,0.05,0.11,0.4,0.5,19,26,0,0.5,DF,3,0.02,0.03,0.11,20
12,Reece James,0.00,0.12,0.05,0.25,0,0,0.12,"1,515",0,0,0.25,0.00,3.4,0.8,16,19,2,0.8,DF,1,0.20,0.05,0.12,24
13,Marcos Alonso,0.25,0.38,0.13,0.26,0,0,0.13,"1,430",0,4,0.26,0.25,2.0,2.0,15,28,2,2.0,DF,4,0.13,0.13,0.38,18
14,Fikayo Tomori,0.07,0.07,0.04,0.06,0,0,0.00,"1,291",0,1,0.06,0.07,0.2,0.6,15,21,0,0.6,DF,3,0.01,0.04,0.07,15
15,Ross Barkley,0.08,0.41,0.17,0.40,0,0,0.33,"1,103",0,1,0.40,0.08,2.7,2.1,13,25,4,2.1,MF,0,0.22,0.17,0.41,21
16,Emerson Palmieri,0.00,0.00,0.09,0.21,0,0,0.00,"1,024",0,0,0.21,0.00,1.4,1.0,13,24,0,1.0,DF,3,0.12,0.09,0.00,15
17,Olivier Giroud,0.73,0.73,0.61,0.73,0,0,0.00,993,0,8,0.73,0.73,1.3,6.7,12,32,0,6.7,FW,1,0.12,0.61,0.73,18
18,Pedro,0.14,0.27,0.39,0.50,0,0,0.14,661,0,1,0.50,0.14,0.8,2.9,8,32,1,2.9,FW,1,0.12,0.39,0.27,11
19,Callum Hudson-Odoi,0.10,0.63,0.17,0.46,0,0,0.52,863,0,1,0.46,0.10,2.8,1.7,7,18,5,1.7,FW,1,0.29,0.17,0.63,22
20,Willy Caballero,0.00,0.00,0.00,0.00,0,0,0.00,450,0,0,0.00,0.00,0.0,0.0,5,37,0,0.0,GK,0,0.00,0.00,0.00,5
21,Ruben Loftus-Cheek,0.00,0.43,0.24,0.34,0,0,0.43,208,0,0,0.34,0.00,0.2,0.5,2,23,1,0.5,"MF,FW",0,0.10,0.24,0.43,7
22,Billy Gilmour,0.00,0.00,0.01,0.08,0,0,0.00,194,0,0,0.08,0.00,0.1,0.0,2,18,0,0.0,MF,0,0.06,0.01,0.00,6
23,Michy Batshuayi,0.38,0.75,0.84,0.91,0,0,0.38,239,0,1,0.91,0.38,0.2,2.2,1,25,1,2.2,FW,0,0.07,0.84,0.75,16
24,Tariq Lamptey,0.00,0.00,0.00,0.34,0,0,0.00,32,0,0,0.34,0.00,0.1,0.0,0,18,0,0.0,DF,0,0.34,0.00,0.00,1
25,Faustino Anjorin,0.00,0.00,0.04,0.04,0,0,0.00,20,0,0,0.04,0.00,0.0,0.0,0,17,0,0.0,FW,0,0.00,0.04,0.00,1
26,Armando Broja,0.00,0.00,0.00,0.00,0,0,0.00,5,0,0,0.00,0.00,0.0,0.0,0,17,0,0.0,FW,0,0.00,0.00,0.00,1
27,Lewis Bate,,,,,,,,,,,,,,,0,16,,,MF,,,,,0
28,Marc Guéhi,,,,,,,,,,,,,,,0,19,,,DF,,,,,0
29,Kenedy,,,,,,,,,,,,,,,0,23,,,"FW,MF",,,,,0
