,player,games_starts,goals_pens_per90,assists_per90,assists,age,cards_yellow,npxg_per90,cards_red,goals_assists_per90,npxg,pens_att,xg_per90,xa,pens_made,goals,goals_per90,position,npxg_xa_per90,games,xg,minutes,goals_assists_pens_per90,xg_xa_per90,xa_per90
0,Virgil van Dijk,38,0.13,0.03,1,28,1,0.07,0,0.16,2.7,0,0.07,1.3,0,5,0.13,DF,0.10,38,2.7,"3,420",0.16,0.10,0.03
1,Trent Alexander-Arnold,35,0.11,0.37,13,20,5,0.08,0,0.48,2.9,0,0.08,9.6,0,4,0.11,DF,0.36,38,2.9,"3,175",0.48,0.36,0.27
2,Georginio Wijnaldum,35,0.12,0.00,0,28,0,0.09,0,0.12,2.9,0,0.09,1.3,0,4,0.12,MF,0.13,37,2.9,"2,935",0.12,0.13,0.04
3,Andrew Robertson,34,0.06,0.35,12,25,2,0.05,0,0.41,1.6,0,0.05,7.2,0,2,0.06,DF,0.26,36,1.6,"3,111",0.41,0.26,0.21
4,Roberto Firmino,34,0.27,0.24,8,27,0,0.40,0,0.51,13.4,0,0.40,5.8,0,9,0.27,FW,0.58,38,13.4,"2,988",0.51,0.58,0.18
5,Mohamed Salah,33,0.50,0.31,10,27,1,0.52,0,0.91,16.7,3,0.59,7.1,3,19,0.59,FW,0.74,34,19.0,"2,876",0.81,0.81,0.22
6,Sadio Mané,31,0.59,0.23,7,27,3,0.44,0,0.82,13.5,0,0.44,7.0,0,18,0.59,FW,0.67,35,13.5,"2,747",0.82,0.67,0.23
7,Alisson,29,0.00,0.04,1,26,0,0.00,1,0.04,0.0,0,0.00,0.4,0,0,0.00,GK,0.02,29,0.0,"2,543",0.04,0.02,0.02
8,Jordan Henderson,26,0.16,0.20,5,29,2,0.05,0,0.36,1.3,0,0.05,2.9,0,4,0.16,MF,0.17,30,1.3,"2,238",0.36,0.17,0.12
9,Fabinho,22,0.09,0.13,3,25,6,0.02,0,0.22,0.4,0,0.02,1.8,0,2,0.09,MF,0.09,28,0.4,"2,079",0.22,0.09,0.08
10,Joe Gomez,22,0.00,0.00,0,22,7,0.00,0,0.00,0.0,0,0.00,0.2,0,0,0.00,DF,0.01,28,0.0,"2,004",0.00,0.01,0.01
11,Alex Oxlade-Chamberlain,17,0.24,0.06,1,25,1,0.18,0,0.30,3.0,0,0.18,1.3,0,4,0.24,"MF,FW",0.27,30,3.0,"1,485",0.30,0.27,0.08
12,James Milner,9,0.00,0.19,2,33,4,0.05,0,0.38,0.6,2,0.20,0.7,2,2,0.19,"MF,DF",0.12,22,2.1,937,0.19,0.27,0.07
13,Adrián,9,0.00,0.00,0,32,1,0.00,0,0.00,0.0,0,0.00,0.0,0,0,0.00,GK,0.00,11,0.0,875,0.00,0.00,0.00
14,Naby Keïta,9,0.22,0.33,3,24,1,0.17,0,0.55,1.6,0,0.17,2.1,0,2,0.22,MF,0.41,18,1.6,815,0.55,0.41,0.24
15,Dejan Lovren,9,0.00,0.12,1,30,1,0.04,0,0.12,0.3,0,0.04,0.3,0,0,0.00,DF,0.07,10,0.3,777,0.12,0.07,0.04
16,Joël Matip,8,0.13,0.00,0,27,0,0.04,0,0.13,0.3,0,0.04,0.0,0,1,0.13,DF,0.04,9,0.3,703,0.13,0.04,0.00
17,Divock Origi,7,0.50,0.13,1,24,1,0.25,0,0.63,2.0,0,0.25,0.2,0,4,0.50,FW,0.28,28,2.0,717,0.63,0.28,0.03
18,Adam Lallana,3,0.24,0.24,1,31,1,0.25,0,0.47,1.0,0,0.25,0.8,0,1,0.24,"MF,FW",0.42,15,1.0,382,0.47,0.42,0.18
19,Neco Williams,3,0.00,0.00,0,18,1,0.10,0,0.00,0.3,0,0.10,0.1,0,0,0.00,DF,0.14,6,0.3,230,0.00,0.14,0.04
20,Takumi Minamino,2,0.00,0.00,0,24,0,0.50,0,0.00,1.4,0,0.50,0.0,0,0,0.00,"FW,MF",0.52,10,1.4,249,0.00,0.52,0.01
21,Xherdan Shaqiri,2,0.49,0.00,0,27,0,0.23,0,0.49,0.5,0,0.23,0.2,0,1,0.49,FW,0.34,7,0.5,185,0.49,0.34,0.11
22,Curtis Jones,1,0.71,0.00,0,18,0,0.63,0,0.71,0.9,0,0.63,0.0,0,1,0.71,MF,0.63,6,0.9,126,0.71,0.63,0.00
23,Harvey Elliot,0,0.00,0.00,0,16,0,0.00,0,0.00,0.0,0,0.00,0.0,0,0,0.00,DF,0.00,2,0.0,8,0.00,0.00,0.00
24,Rhian Brewster,0,,,,19,,,,,,,,,,,,FW,,0,,,,,
25,Ki-Jana Hoever,0,,,,17,,,,,,,,,,,,DF,,0,,,,,
26,Caoimhin Kelleher,0,,,,20,,,,,,,,,,,,GK,,0,,,,,
27,Andy Lonergan,0,,,,35,,,,,,,,,,,,GK,,0,,,,,
28,Nathaniel Phillips,0,,,,22,,,,,,,,,,,,DF,,0,,,,,
